地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/01/31,17:21:58.2,伊豆大島近海,34°50.6′N,139°14.2′E,9 km,4.2,震度４
2011/01/03,13:45:12.1,新潟県下越沖,38°34.4′N,139°15.7′E,12 km,4.7,震度４
2010/12/22,02:19:37.2,父島近海,27°03.1′N,143°56.1′E,8 km,7.8,震度４
2010/11/24,20:09:10.7,茨城県沖,36°13.7′N,140°54.1′E,47 km,4.9,震度４
2010/11/19,13:01:58.7,根室半島南東沖,43°10.4′N,145°35.8′E,53 km,4.8,震度４
2010/11/05,19:14:03.0,茨城県南部,36°03.7′N,139°50.5′E,45 km,4.6,震度４
2010/10/14,22:58:55.5,日高地方東部,42°18.7′N,143°04.1′E,53 km,5.5,震度４
2010/10/06,13:51:47.7,土佐湾,33°31.6′N,133°43.8′E,7 km,4.5,震度４
2010/10/04,22:28:38.9,宮古島近海,24°13.0′N,125°20.1′E,53 km,6.4,震度４
2010/10/03,09:26:52.8,新潟県上越地方,37°08.3′N,138°25.0′E,22 km,4.7,震度５弱
2010/10/03,06:52:44.9,新潟県上越地方,37°08.1′N,138°25.1′E,24 km,4.6,震度４
2010/10/03,06:37:53.6,新潟県上越地方,37°08.5′N,138°25.3′E,23 km,4.5,震度４
2010/10/02,12:35:10.5,新潟県上越地方,37°08.1′N,138°25.6′E,22 km,4.0,震度４
2010/09/29,16:59:55.9,福島県中通り,37°17.1′N,140°01.5′E,8 km,5.7,震度４
2010/09/13,14:47:48.0,青森県東方沖,41°27.3′N,142°07.3′E,63 km,5.8,震度４
2010/09/04,06:15:29.3,釧路沖,42°44.5′N,145°30.8′E,61 km,5.1,震度４
2010/08/10,14:50:34.6,三陸沖,39°20.9′N,143°29.6′E,30 km,6.3,震度４
2010/07/23,06:06:31.4,千葉県北東部,35°52.7′N,140°29.1′E,35 km,5.0,震度５弱
2010/07/21,06:19:18.5,奈良県,34°12.3′N,135°41.6′E,58 km,5.1,震度４
2010/07/05,06:55:52.3,岩手県沖,39°39.4′N,142°39.1′E,34 km,6.4,震度４
2010/07/04,04:33:12.1,岩手県内陸南部,39°01.4′N,140°54.7′E,7 km,5.2,震度４
2010/06/28,06:03:25.3,苫小牧沖,41°37.5′N,141°49.9′E,57 km,5.1,震度４
2010/06/13,12:32:57.0,福島県沖,37°23.7′N,141°47.7′E,40 km,6.2,震度５弱
2010/05/26,17:53:07.1,南大東島近海,25°44.5′N,129°59.3′E,48 km,6.4,震度４
2010/05/01,18:20:37.2,新潟県中越地方,37°33.5′N,139°11.4′E,9 km,4.9,震度４
2010/04/16,16:38:15.0,新潟県下越地方,38°02.4′N,139°28.6′E,12 km,4.6,震度４
2010/04/09,03:41:49.3,釧路沖,42°55.0′N,144°43.3′E,57 km,4.8,震度４
