地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2006/02/18,16:21:10.6,岐阜県美濃中西部,35°41.3′N,136°25.1′E,13 km,4.1,震度４
2006/02/16,23:10:45.4,岐阜県美濃中西部,35°41.3′N,136°25.3′E,14 km,4.4,震度４
2006/02/04,00:11:55.6,天草灘,32°05.0′N,129°52.7′E,12 km,5.1,震度４
2006/02/01,20:35:53.0,千葉県北西部,35°45.6′N,140°00.2′E,101 km,5.1,震度４
2006/01/14,15:30:09.3,茨城県南部,36°11.2′N,140°01.6′E,52 km,4.3,震度４
2005/12/28,18:46:06.4,茨城県南部,36°10.9′N,140°01.6′E,53 km,4.8,震度４
2005/12/24,11:01:55.0,愛知県西部,35°13.8′N,136°50.4′E,43 km,4.8,震度４
2005/12/17,03:32:13.4,宮城県沖,38°26.9′N,142°10.8′E,40 km,6.1,震度４
2005/11/04,01:01:54.9,新潟県上中越沖,37°26.2′N,138°28.6′E,28 km,4.8,震度４
2005/11/01,12:47:38.3,紀伊水道,33°49.4′N,135°05.0′E,45 km,4.3,震度４
2005/10/22,22:12:46.7,福島県沖,37°04.7′N,141°07.2′E,52 km,5.6,震度４
2005/10/19,20:44:42.6,茨城県沖,36°22.9′N,141°02.5′E,48 km,6.3,震度５弱
2005/10/16,16:05:42.6,茨城県南部,36°02.3′N,139°56.2′E,47 km,5.1,震度４
2005/09/21,11:25:08.6,国後島付近,43°42.5′N,146°23.8′E,103 km,6.0,震度４
2005/08/21,11:29:30.1,新潟県中越地方,37°17.9′N,138°42.7′E,17 km,5.0,震度５強
2005/08/16,11:46:25.7,宮城県沖,38°08.9′N,142°16.6′E,42 km,7.2,震度６弱
2005/08/07,01:05:23.8,千葉県北西部,35°33.5′N,140°06.8′E,73 km,4.7,震度４
2005/07/31,14:53:36.4,山梨県東部・富士五湖,35°33.1′N,138°57.6′E,22 km,4.4,震度４
2005/07/28,19:15:35.0,茨城県南部,36°07.5′N,139°50.7′E,51 km,5.0,震度４
2005/07/23,16:34:56.3,千葉県北西部,35°34.9′N,140°08.3′E,73 km,6.0,震度５強
2005/07/12,07:34:03.5,新島・神津島近海,34°19.3′N,139°10.8′E,6 km,2.6,震度４
2005/07/09,19:22:37.9,新潟県中越地方,37°12.8′N,138°49.9′E,11 km,4.3,震度４
2005/06/20,13:15:31.0,新潟県中越地方,37°13.3′N,138°35.6′E,13 km,4.4,震度４
2005/06/20,13:03:13.1,新潟県中越地方,37°13.7′N,138°35.4′E,15 km,5.0,震度５弱
2005/06/20,01:15:14.2,千葉県北東部,35°44.0′N,140°41.6′E,51 km,5.6,震度４
2005/06/05,12:17:34.6,新潟県中越地方,37°34.2′N,138°51.9′E,17 km,3.3,震度４
2005/06/03,04:16:41.8,熊本県天草・芦北地方,32°29.7′N,130°32.8′E,11 km,4.8,震度５弱
2005/05/31,11:04:14.7,大隅半島東方沖,31°18.3′N,131°32.7′E,29 km,5.8,震度４
2005/05/19,01:33:05.6,釧路沖,42°55.2′N,144°43.2′E,58 km,4.8,震度４
2005/05/15,15:55:23.8,栃木県北部,36°37.7′N,139°29.0′E,9 km,4.8,震度４
2005/05/08,15:04:43.5,栃木県北部,36°37.8′N,139°29.5′E,10 km,4.5,震度４
2005/05/02,01:23:57.6,福岡県福岡地方,33°40.2′N,130°19.2′E,11 km,5.0,震度４
2005/04/23,00:23:29.0,長野県北部,36°39.7′N,138°17.7′E,4 km,4.1,震度４
2005/04/20,09:09:42.9,福岡県北西沖,33°40.7′N,130°17.0′E,13 km,5.1,震度４
2005/04/20,06:22:49.7,福岡県北西沖,33°40.7′N,130°17.3′E,13 km,4.7,震度４
2005/04/20,06:11:26.8,福岡県北西沖,33°40.6′N,130°17.2′E,14 km,5.8,震度５強
2005/04/11,07:22:15.6,千葉県北東部,35°43.6′N,140°37.2′E,52 km,6.1,震度５強
2005/04/10,20:34:37.8,福岡県北西沖,33°40.1′N,130°16.9′E,5 km,5.0,震度４
2005/04/07,00:17:24.8,福岡県北西沖,33°42.4′N,130°14.1′E,5 km,4.0,震度４
2005/04/04,02:57:10.2,福島県沖,37°22.3′N,141°45.2′E,44 km,5.3,震度４
2005/04/01,21:52:13.6,福岡県福岡地方,33°40.3′N,130°19.1′E,12 km,4.3,震度４
2005/03/22,15:55:33.4,福岡県北西沖,33°43.5′N,130°10.6′E,11 km,5.4,震度４
2005/03/20,10:53:40.3,福岡県北西沖,33°44.3′N,130°10.5′E,9 km,7.0,震度６弱
2005/03/18,09:38:28.1,北海道西方沖,44°14.0′N,141°06.5′E,0 km,5.0,震度４
2005/03/12,03:47:36.9,釧路沖,43°00.7′N,144°51.6′E,61 km,5.1,震度４
2005/02/26,21:37:38.4,青森県東方沖,40°41.1′N,142°35.7′E,45 km,5.7,震度４
2005/02/16,04:46:36.1,茨城県南部,36°02.3′N,139°53.3′E,46 km,5.3,震度５弱
2005/02/08,11:29:28.5,茨城県南部,36°08.4′N,140°05.1′E,67 km,4.8,震度４
2005/01/18,23:09:06.6,釧路沖,42°52.5′N,145°00.4′E,50 km,6.4,震度５強
2005/01/18,21:50:32.8,新潟県中越地方,37°22.2′N,138°59.8′E,8 km,4.7,震度４
2005/01/15,15:42:29.9,熊本県熊本地方,32°38.2′N,130°50.5′E,8 km,4.1,震度４
2005/01/09,20:15:45.5,新潟県中越地方,37°15.9′N,138°56.6′E,10 km,4.2,震度４
2005/01/09,18:59:30.2,愛知県西部,35°18.7′N,136°51.0′E,13 km,4.7,震度４
2005/01/01,05:13:49.0,茨城県沖,36°47.0′N,140°59.0′E,89 km,5.0,震度４
2004/12/30,22:29:45.7,宮城県北部,38°56.5′N,141°37.9′E,73 km,5.0,震度４
2004/12/28,18:30:36.8,新潟県中越地方,37°19.3′N,138°58.9′E,8 km,5.0,震度５弱
2004/12/23,21:03:43.3,新潟県中越地方,37°23.6′N,138°57.1′E,11 km,4.5,震度４
2004/12/14,14:56:10.5,留萌地方南部,44°04.6′N,141°41.9′E,9 km,6.1,震度５強
2004/12/06,23:15:11.8,釧路沖,42°50.8′N,145°20.5′E,46 km,6.9,震度５強
2004/11/29,03:36:41.1,釧路沖,42°53.0′N,145°14.1′E,46 km,6.0,震度４
2004/11/29,03:32:14.5,釧路沖,42°56.7′N,145°16.5′E,48 km,7.1,震度５強
2004/11/27,07:42:37.5,十勝地方南部,42°19.5′N,143°04.8′E,51 km,5.6,震度４
2004/11/12,02:24:00.1,新潟県中越地方,37°14.2′N,138°55.8′E,10 km,4.3,震度４
2004/11/11,19:02:46.1,十勝沖,42°04.8′N,144°29.1′E,39 km,6.3,震度４
2004/11/10,03:43:08.3,新潟県中越地方,37°22.1′N,139°00.0′E,5 km,5.3,震度５弱
2004/11/09,04:15:59.7,新潟県中越地方,37°21.2′N,138°59.9′E,0 km,5.0,震度４
2004/11/08,11:43:05.8,新潟県中越地方,37°22.9′N,139°02.3′E,2 km,4.7,震度４
2004/11/08,11:32:17.2,新潟県中越地方,37°23.4′N,139°02.8′E,6 km,5.1,震度４
2004/11/08,11:27:10.0,新潟県中越地方,37°23.6′N,139°01.3′E,0 km,5.0,震度４
2004/11/08,11:15:58.5,新潟県中越地方,37°23.7′N,139°01.9′E,0 km,5.9,震度５強
2004/11/08,01:55:59.4,新潟県中越地方,37°15.1′N,138°54.4′E,6 km,3.3,震度４
2004/11/06,22:05:11.8,新潟県中越地方,37°20.9′N,138°53.5′E,13 km,4.4,震度４
2004/11/06,02:53:21.3,新潟県中越地方,37°21.7′N,139°00.1′E,0 km,5.1,震度４
2004/11/04,23:03:11.0,北海道東方沖,43°27.2′N,146°55.2′E,60 km,5.8,震度４
2004/11/04,08:57:29.5,新潟県中越地方,37°25.8′N,138°54.9′E,18 km,5.2,震度５強
2004/11/04,03:13:21.1,福岡県筑後地方,33°04.6′N,130°32.6′E,14 km,4.2,震度４
2004/11/02,00:40:46.4,新潟県中越地方,37°13.0′N,138°54.5′E,9 km,4.1,震度４
2004/11/01,04:35:49.1,新潟県中越地方,37°12.7′N,138°54.0′E,8 km,5.0,震度４
2004/10/27,21:09:08.0,新潟県中越地方,37°18.2′N,138°59.1′E,11 km,4.3,震度４
2004/10/27,15:23:21.7,新潟県中越地方,37°23.9′N,138°53.6′E,2 km,4.0,震度４
2004/10/27,12:05:54.5,新潟県中越地方,37°23.6′N,138°52.6′E,4 km,4.4,震度４
2004/10/27,10:45:35.0,新潟県中越地方,37°18.2′N,138°58.1′E,7 km,4.2,震度４
2004/10/27,10:42:09.1,新潟県中越地方,37°15.8′N,138°58.9′E,12 km,5.1,震度４
2004/10/27,10:40:50.2,新潟県中越地方,37°17.5′N,139°02.0′E,12 km,6.1,震度６弱
2004/10/27,10:26:21.0,新潟県中越地方,37°21.0′N,138°54.7′E,14 km,4.3,震度４
2004/10/26,03:32:21.7,新潟県中越地方,37°24.1′N,138°49.7′E,13 km,4.2,震度４
2004/10/25,20:26:33.8,新潟県中越地方,37°13.8′N,138°49.9′E,10 km,3.9,震度４
2004/10/25,06:07:23.3,新潟県中越地方,37°19.1′N,138°57.3′E,14 km,4.9,震度４
2004/10/25,06:04:57.5,新潟県中越地方,37°19.8′N,138°56.8′E,15 km,5.8,震度５強
2004/10/25,01:27:52.4,新潟県中越地方,37°09.9′N,138°45.6′E,6 km,4.7,震度４
2004/10/25,00:28:08.9,新潟県中越地方,37°12.1′N,138°52.2′E,10 km,5.3,震度５弱
2004/10/24,23:00:30.0,新潟県中越地方,37°10.6′N,138°56.8′E,2 km,5.1,震度４
2004/10/24,17:21:40.6,新潟県中越地方,37°17.2′N,138°54.7′E,11 km,3.9,震度４
2004/10/24,16:06:31.8,新潟県中越地方,37°17.7′N,138°53.6′E,12 km,4.6,震度４
2004/10/24,14:21:34.9,新潟県中越地方,37°14.7′N,138°49.5′E,11 km,5.0,震度５強
2004/10/24,09:28:04.0,新潟県中越地方,37°12.9′N,138°53.5′E,12 km,4.8,震度４
2004/10/24,04:31:27.9,新潟県中越地方,37°17.1′N,138°50.7′E,17 km,3.1,震度４
2004/10/23,23:34:45.6,新潟県中越地方,37°19.0′N,138°54.3′E,20 km,5.3,震度４
2004/10/23,22:57:58.2,新潟県中越地方,37°25.3′N,139°00.1′E,13 km,4.2,震度４
2004/10/23,22:34:56.2,新潟県中越地方,37°16.4′N,138°56.0′E,17 km,4.4,震度４
2004/10/23,22:26:48.3,新潟県中越地方,37°18.4′N,138°49.4′E,17 km,4.3,震度４
2004/10/23,21:44:27.6,新潟県中越地方,37°16.3′N,138°56.5′E,15 km,5.0,震度４
2004/10/23,20:56:12.0,新潟県中越地方,37°13.8′N,138°49.8′E,11 km,3.6,震度４
2004/10/23,20:55:15.8,新潟県中越地方,37°12.7′N,138°47.8′E,10 km,4.5,震度４
2004/10/23,20:34:03.6,新潟県中越地方,37°13.8′N,138°50.0′E,11 km,3.6,震度４
2004/10/23,20:02:40.0,新潟県中越地方,37°13.8′N,138°53.6′E,9 km,4.3,震度４
2004/10/23,19:49:26.1,新潟県中越地方,37°17.5′N,138°53.6′E,18 km,4.8,震度４
2004/10/23,19:48:35.9,新潟県中越地方,37°17.8′N,138°50.1′E,14 km,4.4,震度５弱
