地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2009/12/28,09:12:49.4,釧路地方中南部,43°10.4′N,144°38.6′E,85 km,5.0,震度４
2009/12/19,22:09:39.1,静岡県伊豆地方,34°58.0′N,139°07.3′E,4 km,4.5,震度４
2009/12/19,22:04:53.1,静岡県伊豆地方,34°58.1′N,139°06.8′E,4 km,4.3,震度４
2009/12/19,00:53:14.2,静岡県伊豆地方,34°57.8′N,139°07.4′E,4 km,4.5,震度４
2009/12/18,21:26:55.4,静岡県伊豆地方,34°57.8′N,139°07.7′E,4 km,3.9,震度４
2009/12/18,08:45:36.7,静岡県伊豆地方,34°57.6′N,139°07.7′E,5 km,5.1,震度５弱
2009/12/18,05:41:29.9,栃木県南部,36°20.0′N,139°43.1′E,78 km,5.1,震度４
2009/12/17,23:45:24.5,静岡県伊豆地方,34°57.5′N,139°08.1′E,4 km,5.0,震度５弱
2009/12/16,14:12:51.4,土佐湾,33°06.5′N,133°21.7′E,31 km,4.6,震度４
2009/11/21,15:39:39.5,福島県会津,37°08.0′N,139°50.6′E,10 km,4.5,震度４
2009/10/30,16:03:38.9,奄美大島北東沖,29°10.0′N,129°56.2′E,60 km,6.8,震度４
2009/10/23,18:31:26.2,新潟県中越地方,37°06.9′N,138°38.9′E,11 km,3.3,震度４
2009/10/12,18:42:19.5,福島県会津,37°25.9′N,139°41.8′E,4 km,4.9,震度４
2009/10/12,16:10:34.1,長野県南部,35°56.8′N,137°38.7′E,9 km,3.7,震度４
2009/10/10,17:42:48.4,浦河沖,41°43.2′N,142°13.5′E,92 km,5.1,震度４
2009/09/29,21:03:19.3,根室地方北部,43°37.5′N,144°39.6′E,5 km,4.5,震度４
2009/09/08,01:24:26.6,日高地方東部,42°11.5′N,142°58.3′E,51 km,4.8,震度４
2009/09/03,22:26:17.9,薩摩半島西方沖,31°07.5′N,130°18.0′E,167 km,6.0,震度４
2009/08/13,07:48:51.7,八丈島東方沖,32°52.1′N,140°49.5′E,57 km,6.6,震度５弱
2009/08/11,05:07:05.7,駿河湾,34°47.1′N,138°29.9′E,23 km,6.5,震度６弱
2009/08/09,19:55:52.1,東海道南方沖,33°07.6′N,138°24.2′E,333 km,6.8,震度４
2009/08/05,12:51:14.0,日向灘,32°31.1′N,132°07.1′E,33 km,5.0,震度４
2009/08/05,09:17:58.0,宮古島近海,24°10.5′N,125°15.8′E,22 km,6.5,震度４
2009/08/03,20:18:14.9,熊本県天草・芦北地方,32°19.0′N,130°31.8′E,7 km,4.7,震度４
2009/07/28,20:52:50.9,北海道南西沖,41°25.0′N,140°06.5′E,8 km,4.0,震度４
2009/07/22,23:51:02.0,四国沖,33°01.9′N,134°19.2′E,29 km,4.6,震度４
2009/06/25,23:03:56.7,大分県西部,33°22.1′N,130°53.5′E,12 km,4.7,震度４
2009/06/23,16:37:17.2,宮城県沖,38°53.7′N,142°31.9′E,39 km,5.6,震度４
2009/06/05,12:30:33.8,十勝沖,41°48.7′N,143°37.2′E,31 km,6.4,震度４
2009/05/12,19:40:17.5,新潟県上越地方,37°04.3′N,138°31.9′E,12 km,4.8,震度４
2009/04/28,20:21:19.4,釧路沖,42°35.3′N,145°05.5′E,38 km,5.4,震度４
2009/04/05,18:36:26.3,日向灘,31°55.7′N,131°53.6′E,28 km,5.6,震度４
2009/02/28,09:35:55.0,日高地方西部,42°35.0′N,142°11.3′E,113 km,5.3,震度４
2009/02/24,11:52:18.0,新潟県中越地方,37°31.7′N,138°42.4′E,11 km,3.4,震度４
2009/02/18,06:47:07.0,岐阜県美濃中西部,35°39.7′N,136°18.8′E,9 km,5.2,震度４
2009/02/17,09:12:56.7,福島県沖,37°31.1′N,141°27.5′E,48 km,4.9,震度４
2009/02/17,04:54:28.0,千葉県南部,35°16.5′N,140°13.6′E,31 km,4.6,震度４
2009/02/15,18:24:32.2,岩手県沖,40°15.0′N,142°25.4′E,36 km,5.9,震度４
2009/02/01,06:51:51.8,茨城県沖,36°43.0′N,141°16.7′E,47 km,5.8,震度４
2009/01/03,16:13:03.5,福島県沖,37°03.7′N,141°10.3′E,51 km,4.8,震度４
2008/12/07,07:31:53.8,宮城県中部,38°28.1′N,141°11.0′E,13 km,4.3,震度４
2008/11/24,06:15:31.7,岐阜県美濃東部,35°17.7′N,137°28.0′E,11 km,3.9,震度４
2008/11/22,00:44:48.4,根室半島南東沖,43°07.5′N,145°50.3′E,46 km,5.2,震度４
2008/10/30,00:48:40.7,宮城県沖,38°02.7′N,141°43.9′E,86 km,5.1,震度４
2008/10/14,12:37:46.1,千葉県北東部,35°23.9′N,140°19.7′E,27 km,4.3,震度４
2008/10/04,16:24:17.3,宗谷地方北部,45°01.6′N,141°57.1′E,10 km,3.5,震度４
2008/09/11,09:20:51.3,十勝沖,41°46.5′N,144°09.0′E,31 km,7.1,震度５弱
2008/08/22,19:59:50.1,茨城県北部,36°26.5′N,140°36.9′E,56 km,5.2,震度４
2008/08/20,15:13:29.0,茨城県南部,36°03.4′N,139°54.0′E,45 km,4.6,震度４
2008/08/08,12:57:09.1,神奈川県東部,35°37.8′N,139°32.2′E,30 km,4.6,震度４
2008/07/24,00:26:19.6,岩手県沿岸北部,39°43.9′N,141°38.1′E,108 km,6.8,震度６弱
2008/07/21,20:30:26.6,福島県沖,37°08.1′N,142°20.4′E,27 km,6.1,震度４
2008/07/19,11:39:28.6,福島県沖,37°31.2′N,142°15.8′E,32 km,6.9,震度４
2008/07/08,16:42:10.5,沖縄本島近海,27°27.9′N,128°32.8′E,45 km,6.1,震度５弱
2008/07/05,16:49:02.5,茨城県沖,36°38.5′N,140°57.1′E,50 km,5.2,震度５弱
2008/06/26,08:37:11.1,浦河沖,41°49.5′N,142°40.3′E,55 km,5.4,震度４
2008/06/16,23:14:38.4,岩手県内陸南部,38°59.8′N,140°50.3′E,7 km,5.3,震度４
2008/06/15,15:00:41.3,宮城県北部,38°49.5′N,140°40.0′E,4 km,3.1,震度４
2008/06/14,23:42:32.4,岩手県内陸南部,38°59.7′N,140°53.2′E,6 km,4.9,震度４
2008/06/14,12:27:32.7,岩手県内陸南部,39°08.4′N,140°56.4′E,10 km,5.2,震度４
2008/06/14,12:10:31.8,岩手県内陸南部,39°05.5′N,140°51.8′E,9 km,4.8,震度４
2008/06/14,10:40:00.0,岩手県内陸南部,38°56.1′N,140°53.0′E,7 km,4.8,震度４
2008/06/14,10:00:16.1,岩手県内陸南部,39°02.1′N,140°54.1′E,8 km,4.5,震度４
2008/06/14,09:20:11.8,宮城県北部,38°53.1′N,140°40.3′E,7 km,5.7,震度５弱
2008/06/14,08:58:44.0,宮城県北部,38°46.9′N,140°42.6′E,5 km,3.8,震度４
2008/06/14,08:56:45.1,岩手県内陸南部,39°06.5′N,140°57.8′E,11 km,4.4,震度４
2008/06/14,08:53:10.7,岩手県内陸南部,39°05.4′N,140°58.0′E,10 km,4.1,震度４
2008/06/14,08:43:45.3,岩手県内陸南部,39°01.7′N,140°52.8′E,8 km,7.2,震度６強
2008/06/13,11:21:32.6,長野県南部,35°54.6′N,137°42.2′E,13 km,4.7,震度４
2008/05/11,04:19:11.8,宮崎県南部山沿い,31°58.2′N,130°57.6′E,8 km,4.1,震度４
2008/05/11,03:24:03.3,国後島付近,43°25.4′N,145°50.3′E,88 km,5.1,震度４
2008/05/08,01:45:18.7,茨城県沖,36°13.6′N,141°36.4′E,51 km,7.0,震度５弱
2008/05/01,07:34:05.1,千葉県東方沖,35°26.2′N,140°26.1′E,36 km,4.6,震度４
2008/04/29,14:26:05.3,青森県東方沖,41°27.7′N,142°06.5′E,62 km,5.7,震度４
2008/04/28,02:32:08.3,宮古島近海,24°51.6′N,125°04.5′E,32 km,5.2,震度４
2008/04/17,04:19:36.8,秋田県沿岸南部,39°02.5′N,140°14.0′E,166 km,5.8,震度４
2008/04/17,00:58:29.7,大阪湾,34°36.5′N,135°03.9′E,10 km,4.1,震度４
2008/04/04,19:01:51.8,茨城県南部,36°07.2′N,139°49.6′E,53 km,5.0,震度４
2008/03/24,12:40:11.0,福島県沖,37°07.2′N,141°26.8′E,48 km,5.3,震度４
2008/03/08,01:54:57.1,茨城県北部,36°27.1′N,140°36.7′E,57 km,5.2,震度４
2008/01/26,04:33:25.3,石川県能登地方,37°19.1′N,136°46.4′E,11 km,4.8,震度５弱
2008/01/13,02:11:04.4,渡島地方北部,42°26.1′N,140°15.4′E,11 km,4.1,震度４
2007/12/24,19:39:28.2,栃木県北部,36°59.1′N,139°49.0′E,8 km,3.6,震度４
2007/12/21,14:22:54.5,福井県嶺北,35°56.3′N,136°20.9′E,7 km,4.5,震度４
2007/11/30,18:36:58.0,茨城県沖,36°25.6′N,140°41.7′E,53 km,4.7,震度４
2007/11/26,22:51:37.5,福島県沖,37°18.2′N,141°45.4′E,44 km,6.0,震度４
2007/10/22,09:35:56.9,新島・神津島近海,34°15.6′N,139°06.4′E,9 km,4.3,震度４
2007/10/17,02:03:08.2,新潟県中越地方,37°17.3′N,138°53.1′E,15 km,3.7,震度４
2007/10/14,03:07:43.0,島根県東部,35°25.8′N,133°12.0′E,11 km,3.7,震度４
2007/10/09,02:10:35.4,北海道東方沖,43°21.1′N,146°43.5′E,40 km,5.8,震度４
2007/10/01,02:21:14.6,神奈川県西部,35°13.7′N,139°06.6′E,13 km,4.9,震度５強
2007/08/18,16:55:08.8,千葉県南部,35°20.5′N,140°20.7′E,20 km,5.2,震度４
2007/08/18,13:36:37.3,千葉県北東部,35°21.5′N,140°21.1′E,24 km,4.5,震度４
2007/08/18,04:14:43.5,千葉県南部,35°20.9′N,140°21.6′E,23 km,4.8,震度５弱
2007/08/16,04:15:06.6,千葉県東方沖,35°26.6′N,140°31.8′E,31 km,5.3,震度４
2007/08/09,00:19:42.7,沖縄本島近海,27°18.6′N,128°26.6′E,44 km,5.1,震度４
2007/07/25,06:52:04.0,新潟県中越地方,37°31.9′N,138°43.2′E,24 km,4.8,震度４
2007/07/18,16:53:05.2,新潟県中越地方,37°26.5′N,138°36.9′E,23 km,4.3,震度４
2007/07/16,23:17:36.9,京都府沖,36°51.9′N,135°06.2′E,374 km,6.7,震度４
2007/07/16,21:08:02.1,新潟県上中越沖,37°30.5′N,138°37.7′E,20 km,4.4,震度４
2007/07/16,15:37:40.4,新潟県上中越沖,37°30.2′N,138°38.6′E,23 km,5.8,震度６弱
2007/07/16,10:18:40.2,新潟県上中越沖,37°30.3′N,138°32.8′E,18 km,4.9,震度４
2007/07/16,10:16:16.6,新潟県上中越沖,37°32.2′N,138°38.4′E,14 km,4.6,震度４
2007/07/16,10:13:22.5,新潟県上中越沖,37°33.4′N,138°36.5′E,17 km,6.8,震度６強
2007/07/01,13:12:06.9,根室地方北部,43°32.6′N,144°54.5′E,132 km,5.8,震度４
2007/06/28,18:26:26.0,東京都多摩西部,35°48.7′N,139°11.2′E,15 km,4.1,震度４
2007/06/23,23:52:57.3,茨城県沖,36°32.9′N,140°48.2′E,53 km,4.2,震度４
2007/06/22,03:34:14.3,石川県西方沖,36°52.6′N,136°40.0′E,8 km,4.6,震度４
2007/06/11,03:45:13.8,能登半島沖,37°14.6′N,136°39.2′E,7 km,5.0,震度４
2007/06/07,20:50:40.8,伊予灘,33°20.0′N,131°30.7′E,8 km,4.7,震度４
2007/06/07,17:22:16.3,大分県中部,33°18.9′N,131°29.5′E,9 km,4.7,震度４
2007/06/06,23:42:50.5,大分県中部,33°20.0′N,131°29.7′E,11 km,4.9,震度４
2007/06/02,14:43:14.9,茨城県南部,36°08.0′N,140°02.0′E,50 km,4.6,震度４
2007/06/01,11:42:45.5,静岡県西部,34°41.9′N,137°53.7′E,13 km,4.3,震度４
2007/05/19,00:59:57.5,青森県東方沖,41°33.7′N,142°03.1′E,68 km,5.3,震度４
2007/05/13,08:13:54.7,島根県東部,35°00.5′N,132°47.5′E,9 km,4.6,震度４
2007/05/02,20:44:38.2,石川県能登地方,37°19.8′N,136°45.7′E,7 km,4.7,震度４
2007/04/30,05:41:26.5,奄美大島近海,28°38.8′N,129°23.3′E,13 km,4.9,震度４
2007/04/27,01:37:57.2,十勝沖,42°22.4′N,143°36.3′E,58 km,5.2,震度４
2007/04/26,09:02:56.9,愛媛県東予,33°53.3′N,133°35.0′E,39 km,5.3,震度４
2007/04/21,04:37:58.0,沖縄本島近海,27°26.3′N,128°36.2′E,42 km,5.7,震度４
2007/04/19,00:07:31.0,胆振地方中東部,42°40.2′N,141°56.8′E,126 km,5.6,震度４
2007/04/15,18:34:45.5,三重県中部,34°47.6′N,136°25.0′E,17 km,4.6,震度４
2007/04/15,12:19:29.5,三重県中部,34°47.4′N,136°24.4′E,16 km,5.4,震度５強
2007/04/06,15:18:17.7,石川県能登地方,37°16.0′N,136°47.4′E,12 km,4.3,震度４
2007/03/28,13:05:31.0,能登半島沖,37°16.9′N,136°40.9′E,7 km,4.7,震度４
2007/03/28,08:08:14.5,石川県能登地方,37°13.3′N,136°42.5′E,13 km,4.9,震度５弱
2007/03/26,18:02:52.5,能登半島沖,37°16.5′N,136°42.0′E,6 km,4.6,震度４
2007/03/26,14:46:34.6,能登半島沖,37°09.9′N,136°33.1′E,9 km,4.8,震度５弱
2007/03/26,07:16:36.4,能登半島沖,37°10.0′N,136°29.3′E,0 km,5.3,震度４
2007/03/25,18:11:45.1,石川県能登地方,37°18.2′N,136°50.3′E,13 km,5.3,震度５弱
2007/03/25,15:43:30.5,石川県能登地方,37°17.6′N,136°46.3′E,9 km,4.5,震度４
2007/03/25,09:52:36.6,能登半島沖,37°18.8′N,136°42.4′E,5 km,4.5,震度４
2007/03/25,09:45:50.2,能登半島沖,37°12.1′N,136°39.9′E,6 km,4.7,震度４
2007/03/25,09:41:57.9,能登半島沖,37°13.2′N,136°41.1′E,11 km,6.9,震度６強
2007/03/23,22:37:05.7,熊本県熊本地方,32°37.1′N,130°49.6′E,6 km,4.1,震度４
2007/03/07,21:59:26.4,秋田県内陸北部,40°05.3′N,140°18.2′E,16 km,4.2,震度４
2007/02/17,09:02:56.6,十勝沖,41°43.9′N,143°43.3′E,40 km,6.2,震度４
2007/01/08,18:59:35.8,新潟県中越地方,37°16.0′N,138°55.1′E,13 km,4.8,震度４
2006/12/31,07:34:40.9,根室半島南東沖,43°15.6′N,146°15.5′E,46 km,5.0,震度４
2006/12/31,02:49:31.2,新島・神津島近海,34°15.0′N,139°13.0′E,11 km,4.7,震度４
2006/12/26,05:17:15.4,佐渡付近,37°52.3′N,138°09.5′E,14 km,4.9,震度４
2006/11/22,20:15:11.6,北海道東方沖,43°54.1′N,146°56.7′E,96 km,5.6,震度４
2006/11/18,03:03:12.0,奄美大島近海,28°31.0′N,130°09.2′E,30 km,6.0,震度４
2006/11/03,06:24:30.0,大阪府北部,34°57.5′N,135°28.1′E,8 km,3.7,震度４
2006/11/01,23:21:37.2,十勝地方南部,42°19.8′N,143°07.2′E,49 km,4.8,震度４
2006/10/14,06:38:01.6,千葉県南東沖,34°53.6′N,140°18.2′E,64 km,5.1,震度４
2006/09/26,07:03:48.3,伊予灘,33°30.3′N,131°53.0′E,70 km,5.3,震度４
2006/08/31,17:18:18.6,東京湾,35°37.9′N,140°01.4′E,76 km,4.8,震度４
2006/07/09,18:11:11.6,新島・神津島近海,34°19.8′N,139°10.2′E,6 km,2.9,震度４
2006/07/09,17:48:08.0,新島・神津島近海,34°21.1′N,139°09.3′E,11 km,4.8,震度４
2006/07/06,06:11:44.9,宮城県中部,38°23.4′N,140°44.5′E,11 km,4.3,震度４
2006/06/24,23:10:45.7,長野県南部,35°47.5′N,137°27.3′E,9 km,3.9,震度４
2006/06/13,11:40:33.1,十勝地方中部,42°42.1′N,143°25.2′E,86 km,4.7,震度４
2006/06/12,05:01:24.9,大分県西部,33°08.1′N,131°26.1′E,145 km,6.2,震度５弱
2006/05/15,01:42:13.0,和歌山県北部,34°13.4′N,135°13.2′E,3 km,4.5,震度４
2006/05/02,18:24:31.0,伊豆半島東方沖,34°55.0′N,139°19.8′E,15 km,5.1,震度４
2006/04/30,13:10:36.2,伊豆半島東方沖,35°04.4′N,139°06.4′E,6 km,4.5,震度５弱
2006/04/22,23:35:58.9,宮城県沖,38°42.1′N,141°49.2′E,66 km,4.6,震度４
2006/04/21,02:50:39.5,伊豆半島東方沖,34°56.4′N,139°11.7′E,7 km,5.8,震度４
2006/04/13,13:27:22.9,浦河沖,41°45.3′N,142°53.6′E,43 km,5.3,震度４
2006/03/27,11:50:26.3,日向灘,32°36.1′N,132°09.4′E,35 km,5.5,震度５弱
